workload,redundancy,regime,prompt_length,generation_length,cached_generation_length,prompt_fraction,generated_fraction,requested_retained_fraction,actual_retained_fraction,full_cache_metric,solvable,method,method_key,metric_mean,metric_stdev,metric_samples,metric_ci_low,metric_ci_high,scoring_advantage,advantage_ci_low,advantage_ci_high,prompt_retained,generated_retained,total_retained,generated_position_mean,kv_bytes,flags
multistep,low,prompt_protected,393.3333333333333,96,95,0.8054607508532423,0.1945392491467577,0.9,0.9003412845904867,0.0,False,Prompt-protected random,random,0.0,0.0,6,0.0,0.0,,,,393.3333333333333,46.333333333333336,439.6666666666667,449.434687317984,8103936.0,"full cache scores 0.00: the model cannot do this task uncompressed here, so nothing below it is evidence about compression"
multistep,low,published,131.33333333333334,64,63,0.6758147512864494,0.3241852487135506,0.3,0.3001730586258135,0.0,False,H2O,h2o,0.0,0.0,6,0.0,0.0,,,,38.89814814814815,19.435185185185183,58.333333333333336,177.6439283272962,1075200.0,"full cache scores 0.00: the model cannot do this task uncompressed here, so nothing below it is evidence about compression"
multistep,low,published,131.33333333333334,64,63,0.6758147512864494,0.3241852487135506,0.6,0.5994814629531369,0.0,False,CAKE-style,cake,0.0,0.0,6,0.0,0.0,,,,53.5,63.0,116.5,162.33333333333334,2147328.0,"full cache scores 0.00: the model cannot do this task uncompressed here, so nothing below it is evidence about compression"
multistep,low,published,131.33333333333334,64,63,0.6758147512864494,0.3241852487135506,0.6,0.5994814629531369,0.0,False,H2O,h2o,0.0,0.0,6,0.0,0.0,,,,77.17361111111111,39.326388888888886,116.5,170.68503025531908,2147328.0,"full cache scores 0.00: the model cannot do this task uncompressed here, so nothing below it is evidence about compression"
multistep,low,published,131.33333333333334,64,63,0.6758147512864494,0.3241852487135506,0.6,0.5994814629531369,0.0,False,OBCache 1st-order,obcache,0.0,0.0,6,0.0,0.0,,,,53.5,63.0,116.5,162.33333333333334,2147328.0,"full cache scores 0.00: the model cannot do this task uncompressed here, so nothing below it is evidence about compression"
multistep,low,published,131.33333333333334,64,63,0.6758147512864494,0.3241852487135506,0.6,0.5994814629531369,0.0,False,SnapKV,snapkv,0.0,0.0,6,0.0,0.0,,,,53.5,63.0,116.5,162.33333333333334,2147328.0,"full cache scores 0.00: the model cannot do this task uncompressed here, so nothing below it is evidence about compression"
multistep,low,published,131.33333333333334,64,63,0.6758147512864494,0.3241852487135506,0.9,0.9005179888268063,0.0,False,CAKE-style,cake,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,112.0,63.0,175.0,162.33333333333334,3225600.0,"full cache scores 0.00: the model cannot do this task uncompressed here, so nothing below it is evidence about compression"
multistep,low,published,131.33333333333334,64,63,0.6758147512864494,0.3241852487135506,0.9,0.9005179888268063,0.0,False,H2O,h2o,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,117.43981481481482,57.56018518518518,175.0,164.24936065586905,3225600.0,"full cache scores 0.00: the model cannot do this task uncompressed here, so nothing below it is evidence about compression"
multistep,low,published,131.33333333333334,64,63,0.6758147512864494,0.3241852487135506,0.9,0.9005179888268063,0.0,False,OBCache 1st-order,obcache,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,112.0,63.0,175.0,162.33333333333334,3225600.0,"full cache scores 0.00: the model cannot do this task uncompressed here, so nothing below it is evidence about compression"
multistep,low,published,131.33333333333334,64,63,0.6758147512864494,0.3241852487135506,0.9,0.9005179888268063,0.0,False,Prompt-protected random,random,0.0,0.0,6,0.0,0.0,,,,131.33333333333334,43.666666666666664,175.0,164.13499701472085,3225600.0,"full cache scores 0.00: the model cannot do this task uncompressed here, so nothing below it is evidence about compression"
